system,doped _n,NM_type,NM1_Eneg,NM2_Eneg,NM3_Eneg,NM4_Eneg,frst_layer,Z,bandgap
Te,0,0,0,0,0,0,1,0,0.76
1C1@Te,1,1,2.55,0,0,0,1,6,0
1C2@Te,1,1,0,2.55,0,0,1,6,0.447776936
1N1@Te,1,1,3.04,0,0,0,1,7,0
1N2@Te,1,1,0,3.04,0,0,1,7,0
1O1@Te,1,1,3.44,0,0,0,1,8,0.470591034
1O2@Te,1,1,0,3.44,0,0,1,8,0.180429919
1P1@Te,1,1,2.19,0,0,0,1,15,0
1P2@Te,1,1,0,2.19,0,0,1,15,0
1S1@Te,1,1,2.58,0,0,0,1,16,0.691976028
1S2@Te,1,1,0,2.58,0,0,1,16,0.668133
2C1@Te,2,1,2.55,2.55,0,0,1,6,0.192389933
2C2@Te,2,1,2.55,0,2.55,0,1,6,0
2C3@Te,2,1,2.55,0,0,2.55,1,6,0
2N1@Te,2,1,3.04,3.04,0,0,1,7,0.237051006
2N2@Te,2,1,3.04,0,3.04,0,1,7,0
2N3@Te,2,1,3.04,0,0,3.04,1,7,0.326334941
2O1@Te,2,1,3.44,3.44,0,0,1,8,0.327253054
2O2@Te,2,1,3.44,0,3.44,0,1,8,0.477132131
2O3@Te,2,1,3.44,0,0,3.44,1,8,0.323528093
2P1@Te,2,1,2.19,2.19,0,0,1,15,0
2P2@Te,2,1,2.19,0,2.19,0,1,15,0
2P3@Te,2,1,2.19,0,0,2.19,1,15,0
2S1@Te,2,1,2.58,2.58,0,0,1,16,0.610147967
2S2@Te,2,1,2.58,0,2.58,0,1,16,0.655350925
2S3@Te,2,1,2.58,0,0,2.58,1,16,0.645063868
CN1@Te,2,2,2.55,3.04,0,0,1,13,0
CN2@Te,2,2,2.55,0,3.04,0,1,13,0
CN3@Te,2,2,2.55,0,0,3.04,1,13,0
CN4@Te,2,2,2.55,0,0,0,1,13,0
CO1@Te,2,2,2.55,3.44,0,0,1,14,0.710809117
CO2@Te,2,2,2.55,0,3.44,0,1,14,0
CO3@Te,2,2,2.55,0,0,3.44,1,14,0.091180086
CO4@Te,2,2,2.55,0,0,0,1,14,0
CP1@Te,2,2,2.55,2.19,0,0,1,21,0
CP2@Te,2,2,2.55,2.19,2.19,0,1,21,0
CP3@Te,2,2,2.55,0,0,2.19,1,21,0
CP4@Te,2,2,2.55,0,0,0,1,21,0
CS1@Te,2,2,2.55,2.58,0,0,1,22,0
CS2@Te,2,2,2.55,0,2.58,0,1,22,0
CS3@Te,2,2,2.55,0,0,2.58,1,22,0
CS4@Te,2,2,2.55,0,0,0,1,22,0
NO1@Te,2,2,3.04,3.44,0,0,1,15,0
NO2@Te,2,2,3.04,0,3.44,0,1,15,0
NO3@Te,2,2,3.04,0,0,3.44,1,15,0
NO4@Te,2,2,3.04,0,0,0,1,15,0
NP1@Te,2,2,3.04,2.19,0,0,1,22,0
NP2@Te,2,2,3.04,0,2.19,0,1,22,0
NP3@Te,2,2,3.04,0,0,2.19,1,22,0
NP4@Te,2,2,3.04,0,0,0,1,22,0
NS1@Te,2,2,3.04,2.58,0,0,1,23,0
NS2@Te,2,2,3.04,0,2.58,0,1,23,0
NS3@Te,2,2,3.04,0,0,2.58,1,23,0
NS4@Te,2,2,3.04,0,0,0,1,23,0
OP1@Te,2,2,3.44,2.19,0,0,1,23,0
OP2@Te,2,2,3.44,0,2.19,0,1,23,0
OP3@Te,2,2,3.44,0,0,2.19,1,23,0
OP4@Te,2,2,3.44,0,0,0,1,23,0
OS1@Te,2,2,3.44,2.58,0,0,1,24,0.558635022
OS2@Te,2,2,3.44,0,2.58,0,1,24,0.526324973
OS3@Te,2,2,3.44,0,0,2.58,1,24,0.226383928
OS4@Te,2,2,3.44,0,0,0,1,24,0.538462834
PS1@Te,2,2,2.19,2.58,0,0,1,31,0
PS2@Te,2,2,2.19,0,2.58,0,1,13,0
PS3@Te,2,2,2.19,0,0,2.58,1,13,0
PS4@Te,2,2,2.19,0,0,0,1,13,0
cen-CN1,2,2,2.55,3.04,0,0,2,13,0
cen-CN2,2,2,2.55,0,3.04,0,2,13,0
cen-CO1,2,2,2.55,3.44,0,0,2,14,0.345565049
cen-CO2,2,2,2.55,0,3.44,0,2,14,0.327396053
cen-CP1,2,2,2.55,2.19,0,0,2,21,0
cen-CP2,2,2,2.55,0,2.19,0,2,21,0
cen-CS1,2,2,2.55,2.58,0,0,2,22,0.398343079
cen-CS2,2,2,2.55,0,2.58,0,2,22,0.480411992
cen-NO1,2,2,3.04,3.44,0,0,2,15,0
cen-NO2,2,2,3.04,0,3.44,0,2,15,0
cen-NP1,2,2,3.04,2.19,0,0,2,22,0.199429029
cen-NP2,2,2,3.04,0,2.19,0,2,22,0.236696993
cen-NS1,2,2,3.04,2.58,0,0,2,23,0
cen-NS2,2,2,3.04,0,2.58,0,2,23,0
cen-OP1,2,2,3.44,2.19,0,0,2,23,0
cen-OP2,2,2,3.44,0,2.19,0,2,23,0
cen-OS1,2,2,3.44,2.58,0,0,2,24,0
cen-OS2,2,2,3.44,0,2.58,0,2,24,0
cen-PS1,2,2,2.19,2.58,0,0,2,31,0
cen-PS2,2,2,2.19,0,2.58,0,2,31,0
