system,doped _n,NM_type,NM1_Eneg,NM2_Eneg,NM3_Eneg,NM4_Eneg,frst_layer,Z
1C1@Te,1,1,2.55,0,0,0,1,6
1C2@Te,1,1,0,2.55,0,0,1,6
1N1@Te,1,1,3.04,0,0,0,1,7
1N2@Te,1,1,0,3.04,0,0,1,7
1O1@Te,1,1,3.44,0,0,0,1,8
1O2@Te,1,1,0,3.44,0,0,1,8
1P1@Te,1,1,2.19,0,0,0,1,15
1P2@Te,1,1,0,2.19,0,0,1,15
1S1@Te,1,1,2.58,0,0,0,1,16
1S2@Te,1,1,0,2.58,0,0,1,16
2C1@Te,2,1,2.55,2.55,0,0,1,6
2C2@Te,2,1,2.55,0,2.55,0,1,6
2C3@Te,2,1,2.55,0,0,2.55,1,6
2N1@Te,2,1,3.04,3.04,0,0,1,7
2N2@Te,2,1,3.04,0,3.04,0,1,7
2N3@Te,2,1,3.04,0,0,3.04,1,7
2O1@Te,2,1,3.44,3.44,0,0,1,8
2O2@Te,2,1,3.44,0,3.44,0,1,8
2O3@Te,2,1,3.44,0,0,3.44,1,8
2P1@Te,2,1,2.19,2.19,0,0,1,15
2P2@Te,2,1,2.19,0,2.19,0,1,15
2P3@Te,2,1,2.19,0,0,2.19,1,15
2S1@Te,2,1,2.58,2.58,0,0,1,16
2S2@Te,2,1,2.58,0,2.58,0,1,16
2S3@Te,2,1,2.58,0,0,2.58,1,16
CN1@Te,2,2,2.55,3.04,0,0,1,13
CN2@Te,2,2,2.55,0,3.04,0,1,13
CN3@Te,2,2,2.55,0,0,3.04,1,13
CN4@Te,2,2,2.55,0,0,0,1,13
CO1@Te,2,2,2.55,3.44,0,0,1,14
CO2@Te,2,2,2.55,0,3.44,0,1,14
CO3@Te,2,2,2.55,0,0,3.44,1,14
CO4@Te,2,2,2.55,0,0,0,1,14
CP1@Te,2,2,2.55,2.19,0,0,1,21
CP2@Te,2,2,2.55,,2.19,0,1,21
CP3@Te,2,2,2.55,0,0,2.19,1,21
CP4@Te,2,2,2.55,0,0,0,1,21
CS1@Te,2,2,2.55,2.58,0,0,1,22
CS2@Te,2,2,2.55,0,2.58,0,1,22
CS3@Te,2,2,2.55,0,0,2.58,1,22
CS4@Te,2,2,2.55,0,0,0,1,22
NO1@Te,2,2,3.04,3.44,0,0,1,15
NO2@Te,2,2,3.04,0,3.44,0,1,15
NO3@Te,2,2,3.04,0,0,3.44,1,15
NO4@Te,2,2,3.04,0,0,0,1,15
NP1@Te,2,2,3.04,2.19,0,0,1,22
NP2@Te,2,2,3.04,0,2.19,0,1,22
NP3@Te,2,2,3.04,0,0,2.19,1,22
NP4@Te,2,2,3.04,0,0,0,1,22
NS1@Te,2,2,3.04,2.58,0,0,1,23
NS2@Te,2,2,3.04,0,2.58,0,1,23
NS3@Te,2,2,3.04,0,0,2.58,1,23
NS4@Te,2,2,3.04,0,0,0,1,23
OP1@Te,2,2,3.44,2.19,0,0,1,23
OP2@Te,2,2,3.44,0,2.19,0,1,23
OP3@Te,2,2,3.44,0,0,2.19,1,23
OP4@Te,2,2,3.44,0,0,0,1,23
OS1@Te,2,2,3.44,2.58,0,0,1,24
OS2@Te,2,2,3.44,0,2.58,0,1,24
OS3@Te,2,2,3.44,0,0,2.58,1,24
OS4@Te,2,2,3.44,0,0,0,1,24
PS1@Te,2,2,2.19,2.58,0,0,1,31
PS2@Te,2,2,2.19,0,2.58,0,1,13
PS3@Te,2,2,2.19,0,0,2.58,1,13
PS4@Te,2,2,2.19,0,0,0,1,13
cen-CN1,2,2,2.55,3.04,0,0,2,13
cen-CN2,2,2,2.55,0,3.04,0,2,13
cen-CO1,2,2,2.55,3.44,0,0,2,14
cen-CO2,2,2,2.55,0,3.44,0,2,14
cen-CP1,2,2,2.55,2.19,0,0,2,21
cen-CP2,2,2,2.55,0,2.19,0,2,21
cen-CS1,2,2,2.55,2.58,0,0,2,22
cen-CS2,2,2,2.55,0,2.58,0,2,22
cen-NO1,2,2,3.04,3.44,0,0,2,15
cen-NO2,2,2,3.04,0,3.44,0,2,15
cen-NP1,2,2,3.04,2.19,0,0,2,22
cen-NP2,2,2,3.04,0,2.19,0,2,22
cen-NS1,2,2,3.04,2.58,0,0,2,23
cen-NS2,2,2,3.04,0,2.58,0,2,23
cen-OP1,2,2,3.44,2.19,0,0,2,23
cen-OP2,2,2,3.44,0,2.19,0,2,23
cen-OS1,2,2,3.44,2.58,0,0,2,24
cen-OS2,2,2,3.44,0,2.58,0,2,24
cen-PS1,2,2,2.19,2.58,0,0,2,31
cen-PS2,2,2,2.19,0,2.58,0,2,31
1B1@Te,1,1,2.04,0,0,0,1,5
1B2@Te,1,1,0,2.04,0,0,1,5
2B1@Te,2,1,2.04,2.04,0,0,1,5
2B2@Te,2,1,2.04,0,2.04,0,1,5
2B3@Te,2,1,2.04,0,0,2.04,1,5
1Se1@Te,1,1,2.55,0,0,0,1,34
1Se2@Te,1,1,0,2.55,0,0,1,34
2Se1@Te,2,1,2.55,2.55,0,0,1,34
2Se2@Te,2,1,2.55,0,2.55,0,1,34
2Se3@Te,2,1,2.55,0,0,2.55,1,34
1F1@Te,1,1,3.98,0,0,0,1,9
1F2@Te,1,1,0,3.98,0,0,1,9
2F1@Te,2,1,3.98,3.98,0,0,1,9
2F2@Te,2,1,3.98,0,3.98,0,1,9
2F3@Te,2,1,3.98,0,0,3.98,1,9
1Cl1@Te,1,1,3.16,0,0,0,1,17
1Cl2@Te,1,1,0,3.16,0,0,1,17
2Cl1@Te,2,1,3.16,3.16,0,0,1,17
2Cl2@Te,2,1,3.16,0,3.16,0,1,17
2Cl3@Te,2,1,3.16,0,0,3.16,1,17
1Br1@Te,1,1,2.96,0,0,0,1,35
1Br2@Te,1,1,0,2.96,0,0,1,35
2Br1@Te,2,1,2.96,2.96,0,0,1,35
2Br2@Te,2,1,2.96,0,2.96,0,1,35
2Br3@Te,2,1,2.96,0,0,2.96,1,35
1I1@Te,1,1,2.66,0,0,0,1,53
1I2@Te,1,1,0,2.66,0,0,1,53
2I1@Te,2,1,2.66,2.66,0,0,1,53
2I2@Te,2,1,2.66,0,2.66,0,1,53
2I3@Te,2,1,2.66,0,0,2.66,1,53
CB1@Te,2,2,2.55,2.04,0,0,1,11
CB2@Te,2,2,2.55,0,2.04,0,1,11
CB3@Te,2,2,2.55,0,0,2.04,1,11
CB4@Te,2,2,2.55,0,0,0,1,11
cen-CB1,2,2,2.55,2.04,0,0,2,11
cen-CB2,2,2,2.55,0,2.04,0,2,11
CSe1@Te,2,2,2.55,2.55,0,0,1,40
CSe2@Te,2,2,2.55,0,2.55,0,1,40
CSe3@Te,2,2,2.55,0,0,2.55,1,40
CSe4@Te,2,2,2.55,0,0,0,1,40
cen-CSe1,2,2,2.55,2.55,0,0,2,40
cen-CSe2,2,2,2.55,0,2.55,0,2,40
CF1@Te,2,2,2.55,3.98,0,0,1,15
CF2@Te,2,2,2.55,0,3.98,0,1,15
CF3@Te,2,2,2.55,0,0,3.98,1,15
CF4@Te,2,2,2.55,0,0,0,1,15
cen-CF1,2,2,2.55,3.98,0,0,2,15
cen-CF2,2,2,2.55,0,3.98,0,2,15
CCl1@Te,2,2,2.55,3.16,0,0,1,23
CCl2@Te,2,2,2.55,0,3.16,0,1,23
CCl3@Te,2,2,2.55,0,0,3.16,1,23
CCl4@Te,2,2,2.55,0,0,0,1,23
cen-CCl1,2,2,2.55,3.16,0,0,2,23
cen-CCl2,2,2,2.55,0,3.16,0,2,23
CBr1@Te,2,2,2.55,2.96,0,0,1,41
CBr2@Te,2,2,2.55,0,2.96,0,1,41
CBr3@Te,2,2,2.55,0,0,2.96,1,41
CBr4@Te,2,2,2.55,0,0,0,1,41
cen-CBr1,2,2,2.55,2.96,0,0,2,41
cen-CBr2,2,2,2.55,0,2.96,0,2,41
CI1@Te,2,2,2.55,2.66,0,0,1,59
CI2@Te,2,2,2.55,0,2.66,0,1,59
CI3@Te,2,2,2.55,0,0,2.66,1,59
CI4@Te,2,2,2.55,0,0,0,1,59
cen-CI1,2,2,2.55,2.66,0,0,2,59
cen-CI2,2,2,2.55,0,2.66,0,2,59
NB1@Te,2,2,3.04,2.04,0,0,1,12
NB2@Te,2,2,3.04,0,2.04,0,1,12
NB3@Te,2,2,3.04,0,0,2.04,1,12
NB4@Te,2,2,3.04,0,0,0,1,12
cen-NB1,2,2,3.04,2.04,0,0,2,12
cen-NB2,2,2,3.04,0,2.04,0,2,12
NSe1@Te,2,2,3.04,2.55,0,0,1,41
NSe2@Te,2,2,3.04,0,2.55,0,1,41
NSe3@Te,2,2,3.04,0,0,2.55,1,41
NSe4@Te,2,2,3.04,0,0,0,1,41
cen-NSe1,2,2,3.04,2.55,0,0,2,41
cen-NSe2,2,2,3.04,0,2.55,0,2,41
NF1@Te,2,2,3.04,3.98,0,0,1,16
NF2@Te,2,2,3.04,0,3.98,0,1,16
NF3@Te,2,2,3.04,0,0,3.98,1,16
NF4@Te,2,2,3.04,0,0,0,1,16
cen-NF1,2,2,3.04,3.98,0,0,2,16
cen-NF2,2,2,3.04,0,3.98,0,2,16
NNl1@Te,2,2,3.04,3.16,0,0,1,24
NNl2@Te,2,2,3.04,0,3.16,0,1,24
NNl3@Te,2,2,3.04,0,0,3.16,1,24
NNl4@Te,2,2,3.04,0,0,0,1,24
cen-NNl1,2,2,3.04,3.16,0,0,2,24
cen-NNl2,2,2,3.04,0,3.16,0,2,24
NBr1@Te,2,2,3.04,2.96,0,0,1,42
NBr2@Te,2,2,3.04,0,2.96,0,1,42
NBr3@Te,2,2,3.04,0,0,2.96,1,42
NBr4@Te,2,2,3.04,0,0,0,1,42
cen-NBr1,2,2,3.04,2.96,0,0,2,42
cen-NBr2,2,2,3.04,0,2.96,0,2,42
NI1@Te,2,2,3.04,2.66,0,0,1,60
NI2@Te,2,2,3.04,0,2.66,0,1,60
NI3@Te,2,2,3.04,0,0,2.66,1,60
NI4@Te,2,2,3.04,0,0,0,1,60
cen-NI1,2,2,3.04,2.66,0,0,2,60
cen-NI2,2,2,3.04,0,2.66,0,2,60
OB1@Te,2,2,3.44,2.04,0,0,1,13
OB2@Te,2,2,3.44,0,2.04,0,1,13
OB3@Te,2,2,3.44,0,0,2.04,1,13
OB4@Te,2,2,3.44,0,0,0,1,13
cen-OB1,2,2,3.44,2.04,0,0,2,13
cen-OB2,2,2,3.44,0,2.04,0,2,13
OSe1@Te,2,2,3.44,2.55,0,0,1,42
OSe2@Te,2,2,3.44,0,2.55,0,1,42
OSe3@Te,2,2,3.44,0,0,2.55,1,42
OSe4@Te,2,2,3.44,0,0,0,1,42
cen-OSe1,2,2,3.44,2.55,0,0,2,42
cen-OSe2,2,2,3.44,0,2.55,0,2,42
OF1@Te,2,2,3.44,3.98,0,0,1,17
OF2@Te,2,2,3.44,0,3.98,0,1,17
OF3@Te,2,2,3.44,0,0,3.98,1,17
OF4@Te,2,2,3.44,0,0,0,1,17
cen-OF1,2,2,3.44,3.98,0,0,2,17
cen-OF2,2,2,3.44,0,3.98,0,2,17
OOl1@Te,2,2,3.44,3.16,0,0,1,25
OOl2@Te,2,2,3.44,0,3.16,0,1,25
OOl3@Te,2,2,3.44,0,0,3.16,1,25
OOl4@Te,2,2,3.44,0,0,0,1,25
cen-OOl1,2,2,3.44,3.16,0,0,2,25
cen-OOl2,2,2,3.44,0,3.16,0,2,25
OBr1@Te,2,2,3.44,2.96,0,0,1,43
OBr2@Te,2,2,3.44,0,2.96,0,1,43
OBr3@Te,2,2,3.44,0,0,2.96,1,43
OBr4@Te,2,2,3.44,0,0,0,1,43
cen-OBr1,2,2,3.44,2.96,0,0,2,43
cen-OBr2,2,2,3.44,0,2.96,0,2,43
OI1@Te,2,2,3.44,2.66,0,0,1,61
OI2@Te,2,2,3.44,0,2.66,0,1,61
OI3@Te,2,2,3.44,0,0,2.66,1,61
OI4@Te,2,2,3.44,0,0,0,1,61
cen-OI1,2,2,3.44,2.66,0,0,2,61
cen-OI2,2,2,3.44,0,2.66,0,2,61
PB1@Te,2,2,2.19,2.04,0,0,1,20
PB2@Te,2,2,2.19,0,2.04,0,1,20
PB3@Te,2,2,2.19,0,0,2.04,1,20
PB4@Te,2,2,2.19,0,0,0,1,20
cen-PB1,2,2,2.19,2.04,0,0,2,20
cen-PB2,2,2,2.19,0,2.04,0,2,20
PSe1@Te,2,2,2.19,2.55,0,0,1,49
PSe2@Te,2,2,2.19,0,2.55,0,1,49
PSe3@Te,2,2,2.19,0,0,2.55,1,49
PSe4@Te,2,2,2.19,0,0,0,1,49
cen-PSe1,2,2,2.19,2.55,0,0,2,49
cen-PSe2,2,2,2.19,0,2.55,0,2,49
PF1@Te,2,2,2.19,3.98,0,0,1,24
PF2@Te,2,2,2.19,0,3.98,0,1,24
PF3@Te,2,2,2.19,0,0,3.98,1,24
PF4@Te,2,2,2.19,0,0,0,1,24
cen-PF1,2,2,2.19,3.98,0,0,2,24
cen-PF2,2,2,2.19,0,3.98,0,2,24
PPl1@Te,2,2,2.19,3.16,0,0,1,32
PPl2@Te,2,2,2.19,0,3.16,0,1,32
PPl3@Te,2,2,2.19,0,0,3.16,1,32
PPl4@Te,2,2,2.19,0,0,0,1,32
cen-PPl1,2,2,2.19,3.16,0,0,2,32
cen-PPl2,2,2,2.19,0,3.16,0,2,32
PBr1@Te,2,2,2.19,2.96,0,0,1,50
PBr2@Te,2,2,2.19,0,2.96,0,1,50
PBr3@Te,2,2,2.19,0,0,2.96,1,50
PBr4@Te,2,2,2.19,0,0,0,1,50
cen-PBr1,2,2,2.19,2.96,0,0,2,50
cen-PBr2,2,2,2.19,0,2.96,0,2,50
PI1@Te,2,2,2.19,2.66,0,0,1,68
PI2@Te,2,2,2.19,0,2.66,0,1,68
PI3@Te,2,2,2.19,0,0,2.66,1,68
PI4@Te,2,2,2.19,0,0,0,1,68
cen-PI1,2,2,2.19,2.66,0,0,2,68
cen-PI2,2,2,2.19,0,2.66,0,2,68
SB1@Te,2,2,2.58,2.04,0,0,1,21
SB2@Te,2,2,2.58,0,2.04,0,1,21
SB3@Te,2,2,2.58,0,0,2.04,1,21
SB4@Te,2,2,2.58,0,0,0,1,21
cen-SB1,2,2,2.58,2.04,0,0,2,21
cen-SB2,2,2,2.58,0,2.04,0,2,21
SSe1@Te,2,2,2.58,2.55,0,0,1,50
SSe2@Te,2,2,2.58,0,2.55,0,1,50
SSe3@Te,2,2,2.58,0,0,2.55,1,50
SSe4@Te,2,2,2.58,0,0,0,1,50
cen-SSe1,2,2,2.58,2.55,0,0,2,50
cen-SSe2,2,2,2.58,0,2.55,0,2,50
SF1@Te,2,2,2.58,3.98,0,0,1,25
SF2@Te,2,2,2.58,0,3.98,0,1,25
SF3@Te,2,2,2.58,0,0,3.98,1,25
SF4@Te,2,2,2.58,0,0,0,1,25
cen-SF1,2,2,2.58,3.98,0,0,2,25
cen-SF2,2,2,2.58,0,3.98,0,2,25
SSl1@Te,2,2,2.58,3.16,0,0,1,33
SSl2@Te,2,2,2.58,0,3.16,0,1,33
SSl3@Te,2,2,2.58,0,0,3.16,1,33
SSl4@Te,2,2,2.58,0,0,0,1,33
cen-SSl1,2,2,2.58,3.16,0,0,2,33
cen-SSl2,2,2,2.58,0,3.16,0,2,33
SBr1@Te,2,2,2.58,2.96,0,0,1,51
SBr2@Te,2,2,2.58,0,2.96,0,1,51
SBr3@Te,2,2,2.58,0,0,2.96,1,51
SBr4@Te,2,2,2.58,0,0,0,1,51
cen-SBr1,2,2,2.58,2.96,0,0,2,51
cen-SBr2,2,2,2.58,0,2.96,0,2,51
SI1@Te,2,2,2.58,2.66,0,0,1,69
SI2@Te,2,2,2.58,0,2.66,0,1,69
SI3@Te,2,2,2.58,0,0,2.66,1,69
SI4@Te,2,2,2.58,0,0,0,1,69
cen-SI1,2,2,2.58,2.66,0,0,2,69
cen-SI2,2,2,2.58,0,2.66,0,2,69
Bse1,2,2,2.04,2.55,0,0,1,39
Bse2,2,2,2.04,0,2.55,0,1,39
Bse3,2,2,2.04,0,0,2.55,1,39
Bse4,2,2,2.04,0,0,0,1,39
c-Bse1,2,2,2.04,2.55,0,0,2,39
c-Bse2,2,2,2.04,0,2.55,0,2,39
BF1,2,2,2.04,3.98,0,0,1,14
BF2,2,2,2.04,0,3.98,0,1,14
BF3,2,2,2.04,0,0,3.98,1,14
BF4,2,2,2.04,0,0,0,1,14
c-BF1,2,2,2.04,3.98,0,0,2,14
c-BF2,2,2,2.04,0,3.98,0,2,14
BCl1,2,2,2.04,3.16,0,0,1,22
BCl2,2,2,2.04,0,3.16,0,1,22
BCl3,2,2,2.04,0,0,3.16,1,22
BCl4,2,2,2.04,0,0,0,1,22
c-BCl1,2,2,2.04,3.16,0,0,2,22
c-BCl2,2,2,2.04,0,3.16,0,2,22
BBr1,2,2,2.04,2.96,0,0,1,40
BBr2,2,2,2.04,0,2.96,0,1,40
BBr3,2,2,2.04,0,0,2.96,1,40
BBr4,2,2,2.04,0,0,0,1,40
c-BBr1,2,2,2.04,2.96,0,0,2,40
c-BBr2,2,2,2.04,0,2.96,0,2,40
BI1,2,2,2.04,2.66,0,0,1,58
BI2,2,2,2.04,0,2.66,0,1,58
BI3,2,2,2.04,0,0,2.66,1,58
BI4,2,2,2.04,0,0,0,1,58
c-BI1,2,2,2.04,2.66,0,0,2,58
c-BI2,2,2,2.04,0,2.66,0,2,58
SeF1,2,2,2.55,3.98,0,0,1,43
SeF2,2,2,2.55,0,3.98,0,1,43
SeF3,2,2,2.55,0,0,3.98,1,43
SeF4,2,2,2.55,0,0,0,1,43
c-SeF1,2,2,2.55,3.98,0,0,2,43
c-SeF2,2,2,2.55,0,3.98,0,2,43
SeCl1,2,2,2.55,3.16,0,0,1,51
SeCl2,2,2,2.55,0,3.16,0,1,51
SeCl3,2,2,2.55,0,0,3.16,1,51
SeCl4,2,2,2.55,0,0,0,1,51
c-SeCl1,2,2,2.55,3.16,0,0,2,51
c-SeCl2,2,2,2.55,0,3.16,0,2,51
SeBr1,2,2,2.55,2.96,0,0,1,69
SeBr2,2,2,2.55,0,2.96,0,1,69
SeBr3,2,2,2.55,0,0,2.96,1,69
